Year,Name,Worth,Age
2001,"Hamilton, Dorrance Hill",10,47
2001,"Hearst, William Randolph III",10,62
2001,"Khosla, Vinod",10,72
2001,"Kohlberg, Jerome Spiegel Jr.",10,-
2001,"Kovner, Bruce",10,53
2001,"Kriens, Scott",10,55
2001,"Larrea Mota-Velasco, Germn",10,-
2001,"Lee-Chin, Michael",10,46
2001,"Levinson, Frank",10,-
2001,"Robertson, Julian H. Jr.",10,65
2001,"Schneider, Donald J.",10,34
2001,"Simonyi, Charles",10,68
2001,"Van Beuren, Hope Hill",10,59
2001,"Vilar, Alberto",10,-
2001,"Waitt, Norman W.",10,55
2001,"White, Dean",10,-
2001,"Yang, Jerry",10,64
2002,"Gates, William H III",528,46
2002,"Buffett, Warren E",350,71
2002,"Allen, Paul G",252,49
2002,"Ellison, Lawrence J",235,57
2002,"Walton, Jim C",208,54
2002,"Walton, John T",207,56
2002,"Walton, Alice L",205,53
2002,"Walton, S Robson",205,58
2002,"Walton, Helen R",204,82
2002,"Thomson, Kenneth & family",149,79
2002,"Ballmer, Steven A",148,45
2002,"Slim Helu, Carlos",115,62
2002,"Dell, Michael S",111,37
2002,"Kluge, John W",105,87
2002,"Anthony, Barbara Cox",101,78
2002,"Chambers, Anne Cox",101,82
2002,"Mars, Forrest E Jr",90,65
2002,"Mars, Jacqueline Badger",90,-
2002,"Mars, John F",90,70
2002,"Johnson, Abigail",86,56
2002,"Redstone, Sumner M",81,78
2002,"Soros, George",69,71
2002,"Ergen, Charles",62,49
2002,"Moore, Gordon Earle",61,73
2002,"Kerkorian, Kirk",58,84
2002,"Knight, Philip H",57,71
2002,"Murdoch, Keith R",57,64
2002,"Broad, Eli",52,74
2002,"Anschutz, Philip F",51,62
2002,"Icahn, Carl",50,66
2002,"Newhouse, Donald E",50,74
2002,"Newhouse, Samuel I Jr",50,75
2002,"Pritzker, Robert A",50,51
2002,"Pritzker, Thomas J",50,56
2002,"Goodnight, James",48,-
2002,"Lerner, Alfred",47,-
2002,"Omidyar, Pierre M",46,77
2002,"Johnson, Samuel C",45,58
2002,"Bloomberg, Michael R",44,58
2002,"Davis, Marvin H",44,59
2002,"Johnson, Edward C III",43,-
2002,"Weston, Galen & family",42,60
2002,"Irving, James, Arthur & John",41,-
2002,"Schwab, Charles R",41,64
2002,"Annenberg, Walter H",40,-
2002,"Bren, Donald L",40,-
2002,"Geffen, David",40,58
2002,"Warner, H Ty",40,-
2002,"Perot, Henry R",39,-
2002,"Huntsman, Jon M",38,61
2002,"Turner, Robert E (Ted)",38,64
2002,"Arango, Jeronimo",37,76
2002,"Arison, Micky",36,-
2002,"Crown, Lester & family",34,78
2002,"Greenberg, Maurice R",34,55
2002,"Wrigley, William Jr",34,76
2002,"Simplot, John R",33,93
2002,"Sorenson, James L",32,80
2002,"Koch, Charles D",31,61
2002,"Koch, David H",31,59
2002,"Bechtel, Riley P",30,35
2002,"Bechtel, Stephen D Jr",30,-
2002,"Bronfman, Edgar M Sr",30,49
2002,"Hillman, Henry L",30,73
2002,"Lucas, George",30,76
2002,"Marcus, Bernard",30,83
2002,"Siebel, Thomas M",30,57
2002,"Taylor, Jack Crawford",30,49
2002,"Lauder, Leonard A",29,77
2002,"Kroenke, Ann Walton",28,74
2002,"Laurie, Nancy Walton",28,61
2002,"Tisch, Preston Robert",28,-
2002,"Zambrano, Lorenzo & family",28,75
2002,"LeFrak, Samuel Jayson",26,62
2002,"Perenchio, A Jerrold",26,-
2002,"Schulze, Richard M",26,71
2002,"Wexner, Leslie Herbert",26,61
2002,"Bass, Robert M",25,64
2002,"Bronfman, Charles",25,60
2002,"Buffett, SUnited Staten Thompson",25,70
2002,"Rockefeller, David Sr",25,51
2002,"Sherman, Bernard (Barry)",25,69
2002,"Ingram, Martha",24,61
2002,"Johnson, Barbara Piasecka",24,-
2002,"Lauder, Ronald S",24,51
2002,"McCaw, Craig O",24,59
2002,"Rowling, Robert",24,52
2002,"Sall, John",24,48
2002,"Stern, Leonard N",24,63
2002,"Dolan, Charles F",23,74
2002,"Garza Laguera, Eugenio & family",23,-
2002,"Hostetter, Amos B Jr",23,71
2002,"Hunt, Ray L",23,75
2002,"Kaiser, George B",23,56
2002,"Tisch, Laurence A",23,59
2002,"Udvar-Hazy, Steven",23,-
2002,"Nicholas, Henry T III",22,-
2002,"Skoll, Jeffrey S",22,41
2002,"Spielberg, Steven A",22,55
2002,"Davidson, William M",21,54
2002,"Getty, Gordon P",21,34
2002,"Lauren, Ralph",21,63
2002,"Perelman, Ronald Owen",21,59
2002,"Samueli, Henry",21,63
2002,"Kroc, Joan B & family",20,78
2002,"McGovern, Patrick J",20,61
2002,"Menard, John R Jr",20,84
2002,"Pattison, Jim",20,-
2002,"Helmsley, Leona",19,67
2002,"Krasny, Michael",19,-
2002,"Malone, John C",19,-
2002,"Taylor, Glen",19,82
2002,"Abraham, S D",18,48
2002,"Allen, Herbert A Jr",18,57
2002,"Butt, Charles C",18,69
2002,"Farmer, Richard T",18,48
2002,"Gonda, Louis L",18,75
2002,"Hall, Donald J",18,41
2002,"Hernandez, Roberto",18,73
2002,"Hughes, Bradley W",18,53
2002,"Huizenga, H W",18,85
2002,"Johnson, Charles B",18,64
2002,"Kim, James",18,56
2002,"Melnyk, Eugene",18,-
2002,"Sarofim, Fayez Shalaby",18,68
2002,"Stempel, Ernest E",18,73
2002,"Trump, Donald J",18,60
